url_length,num_dots,num_digits,num_hyphens,has_ip,has_https,dns_resolves,label
42,2,0,3,0,0,1,1
71,2,12,0,0,1,1,1
42,1,0,0,0,0,1,1
30,1,0,0,0,1,1,1
55,3,0,1,0,1,1,1
24,1,0,0,0,0,1,0
24,2,0,0,0,0,1,1
23,1,0,1,0,0,1,1
17,1,3,0,0,0,1,1
89,2,2,0,0,1,1,1
16,1,0,0,0,0,1,0
52,3,0,2,0,1,1,1
36,2,0,2,0,1,1,1
116,2,47,3,0,1,1,1
25,1,0,0,0,0,1,1
38,2,0,2,0,1,1,1
33,2,0,0,0,1,1,1
45,2,9,0,0,1,1,1
32,3,0,0,0,0,0,1
29,2,1,0,0,0,0,1
54,2,2,2,0,1,1,1
69,2,18,4,0,1,0,1
73,5,5,3,0,1,1,1
30,2,0,0,0,1,1,1
